"shapeid","x","y","OBJECTID","LSN","POI_NAME","POI_TYPE","POI_SOURCE","PHONE_NUM","GLOBALID","WEBSITE"
"106","-82.92974615978719","39.98377063847182","5710386","2751 E 4TH AVE","Midwest Express","Transportation - Other","NULL","NULL","{C155C1D1-42CE-4BA6-8518-AD0523389C25}","NULL"
"107","-82.99752295527149","39.965506521689974","5711132","134 E LONG ST","136 E Long St Lot","Transportation - Parking Lot/Garage","NULL","NULL","{FD522157-773C-4A4C-B10D-961127DC2145}","https://portal.park-ops.com/index.php?cPath=17"
"108","-83.07427399300676","40.075125008773504","5711161","2160 WEST CASE RD","The Ohio State University Airport","Transportation - Airport","NULL","NULL","{2BE27D47-B3FA-4AE4-90A2-1DB639310082}","NULL"
"109","-83.00387664423972","39.96693985249316","5711355","285 N FRONT ST","Front Street Garage","Transportation - Parking Lot/Garage","NULL","NULL","{C7CF2CF3-5E0F-439F-BA7C-A0622D6C1116}","https://columbusparking.spplus.com/285-n-front-st.html"
"110","-82.92985381697346","39.909321522018246","5711356","2885 ALUM CREEK DR","Old Dominion Freight Line","Transportation - Other","CBLD1618750","614-491-3903","{9D249B39-5CC1-46E4-BF8E-80E9B8BB68B1}","NULL"
"111","-82.99793690340489","39.958425392238716","5710046","191 S 3RD ST","Columbus Commons Underground Garage","Transportation - Parking Lot/Garage","NULL","NULL","{AF405E6F-24C2-44D6-BA2E-9ABD73A7892F}","https://www.lazparking.com/local/columbus-oh/columbus-commons-underground-garage"
"112","-83.07012188408397","39.97073781386833","5710464","2440 HARRISON RD","L V Trucking","Transportation - Other","NULL","NULL","{A434ADBB-FB87-4BC7-88FB-EAABEBD19AE2}","NULL"
"113","-82.99611205093746","39.96027467074487","5710501","151 E STATE ST","E State St Lot","Transportation - Parking Lot/Garage","NULL","NULL","{77190D6D-F277-432D-A53F-B1E6D09AD8E3}","https://portal.park-ops.com/index.php?cPath=17"
"114","-83.15387535988677","39.98246742667646","5711330","5584 RENNER RD","COTA Park & Ride - Renner Rd","Transportation - Bus","NULL","NULL","{B24CE444-A414-4294-99EF-9151D1D15DBC}","http://www.cota.com/park-and-ride.aspx"
"115","-83.13856982588445","39.97819842288384","5710530","1250 WALCUTT RD","Fyda Freightliner","Transportation - Other","NULL","NULL","{22E4B4C2-D83C-4F1B-889F-E8076A4A697A}","NULL"
"116","-83.00643357240855","39.97182363287148","5711242","144 VINE ST","Lot 035AB","Transportation - Parking Lot/Garage","NULL","NULL","{15B1C20D-5CD1-4BC8-9341-154367EA1D2B}","https://www.parkplaceparking.com/parking-lot-details/27"
"117","-82.99211388052603","39.9707239090757","5711259","353 N GRANT AVE","CSCC 23-S, H Parking Lot","Transportation - Parking Lot/Garage","NULL","NULL","{576363C8-0DC4-447B-80A0-628DDF1F91CD}","http://www.cscc.edu/about/columbus/pdf/map.pdf"
"118","-82.9348926800802","39.91896089111629","5711381","2430 PERFORMANCE WAY","Refrigerated Food Express","Transportation - Other","NULL","NULL","{3E6E2EB4-28C6-4F4E-94C1-83AE2988A09B}","NULL"
